train_abhvpptixv|tao lấy trứng dái đập hả m con lol :)
train_rpjrymdjls|Bây giờ nhiều thể loại tha cả bỉm cứt của con đến tận quán hát để biêú gái , thiếu mấy con phò này thì bia nó nhạt mồm nhạt miệng , tay chân ngứa ngáy . Xem thường vợ con , ở nhà thì mồm cứ nói lèo lèo như nước nhớt . Cũng một cái chết mà chết nhục chết nhã mang tiếng để đời . . cho bay chết mẹ bây hết đi . khổ vợ khổ con . . . .
train_tanfndeqlf|À là mày à ? Bố m bay về chém chết cụ m
train_acskgglfyy|Không phải tao ! Tao cào nhà mày chứ mà im lặng để mày tưởng là tao điên mà còn ngu à !
train_kxqaqsisuf|Bùi D . Khánh biến thái vlon
train_vxlpuhptfe|Chứ đóng tiểu xây dựng trường ai đóng mày ? Chúng mày nói ngu thế ?
train_snwdzrsjdl|Mọi nhu cầu THIẾT YẾU của người dân đều bị đánh thuế . . . Kinh tởm cộng sản . Kinh tởm dân ngu . Kinh tởm dân ngu . Kinh tởm dân ngu <URL>
train_bkbxbnpvvy|Phạm . V . Dân óc chó của làng . Ngu vc
train_gcbtdpdmuo|👌 👌 🤞 bọn bay cút cmn ra khỏi cuộc đời tao đi . Cút cút
train_skggvemyjj|Con lợn ak tao nể a mày tao cho mày cơ hội nhưng dm m đéo nói dk với tao cau nao cho đàng hoàng còn tao hứa danh dự loại mày k đi bằng 2 chân đâu tao hứa với mày đó con chó <URL>
train_nngghzjxjd|Lê Bằng . Toàn đi khóc thuê hộ chel thôi . Đàn ông mà khóc như đàn bà
train_jmsudbrgwo|Hoàng Hiếu đọc từng câu chữ biết các hạ là người có vẻ rất nhỏ nhen ích kỷ . Đừng lấy bụng dạ tiểu nhân do lòng quân tử .
train_iqpjmrwfdh|Cái t lol làm rớt đt tao . Đm Đm
train_ksftsryiat|Trịnh Yến sự xàm loz của đàn ông xđ trên miền " " âm vô cùng " " - > " " dương vô cùng " " nhé :)
train_fmvkwbpogb|Ăn lozzzz Bảo Trân Kim Tuyền = ] ] ] ]
train_ehrgoxwgue|Tự sướng mà tao thấy sướng đéo đâu . Ad bị ngu à
train_qnetuapbmt|Thảo Minh Nguyễn chửi dòng họ mày hả con đỉ chó bò đỏ .
train_rlzqkwekri|Pham Hô chắc me nó ko ăn thịt chó lên ca ho cách ly buồn đi chơi chó chẳng may rinh bầu đe ra nó bảo sao có dòng máu chó lên . chó thì ko ăn thịt chó
train_hejtosfmxj|Để xem nó có chết vì bệnh hiểm nghèo khg ?
train_birfgtqsre|Quang Truong lòng dân thì toàn tâm tin đảng rồi nhờ vầy mới đánh cho đám vàng vẩu bay mãi xa chứ mày nghĩ có mấy người cs thì làm được gì nếu không có nhân dân nói ngu
train_xwgszrxmjm|Đm ông về mà bán vé số đi . . . cuồng ngôn
train_iskftdexlw|Hà Ling Uat m có đọc cmt không ? Thằng lol đó nó lôi nhà tao vô nhé con hãm . Nó cũng là ng bảo nugu gì đó đéo phải nhà tao nhé con ngu
train_aemooevedi|Nó giết bốn tỉnh miền trung chả làm được gì ! Nó đặp vô mồm là xong ! Nó sẽ giết chết từ từ ! Trên đời này không ai mà dại rước độc thãi về nhà ! Ngu cả lũ
train_qhrvxibhay|Mày phát biểu như vậy thì chắc bằng ts mày là bằng 2tr500 ngan rồi . . . chó ngu mà sủa thì ai nghe nổi ? ? ?
train_spudkhtkto|Tại sao chế độ vẫn còn để bọn khốn nạn này , chế độ độc tài Tổng Bóng <URL> H - Tuấn . Bộ Y Tế chuẩn bị ban hành quy định ! Thu phí người thăm nuôi bệnh nhân , đây là là kế hoạch chân ( thứ 3 ) của bà ta là thu phí có đúng không vậy ace . . ?
train_fabrjfjmrq|Đá ngu chứ chả có cái chuyện l gì . Bực vl
train_iltbkkgrka|Thế mà có thằng ngu đéo hiểu
train_zomdlggzxp|Thằng này ngu nên có phát ngôn ngáo đá .
train_giaytjrszm|Dm con đàn bà ghet vl
train_qordkcmtbq|Dkm h này nhuc răng . Làm sao ngu dc sáng . Còn i làm chet tui ui
train_hpufqskssi|Hải Minh Tiêu mày óc chó à =) địt mẹ đéo biết thế nào nhưng mà làm mất mặt ck với bố mẹ 2 bên là đáng ăn chửi rồi , sủa cái địt cụ mày thằng ngu học
train_rymnwelwac|Tôi không ghét chó hay mèo . . Nhưng tôi thực sự căm ghét cái bọn nuôi chó & mèo mà không có ý thức : Ra đường ko rọ mõm , không tiêm chủng , đi bậy bạ ra phố xá . Đó là một lũ chó chết .
train_sdyesflhbv|Thoa Đường nhà mày có máy phải k . mả cha mi k biết thương xót ng nôg dân ak . công cày cuốc giốg phân . . . biết bao nhiêu . hay là nhà mày k làm nôg . nhà mày cán bộ chỉ biết liếm tiền dân . hay là sao nữa mày sủa đi để tau biết . loại óc chó
train_osbezfvhce|Nhìn cái môi trề như cá tra dưới ao ăn cức là dân chúng tao hiểu mày rồi ko cần phãi phát ngôn j đâu thằng chó ak
train_mniqplfiea|đến ạ mấy con ngu bị lừa quay ra chê đàn ông :(
train_fdqwfwqpii|Bình cái éo chi còn éo chi nửa mà bình tĩnh tham quan bán hết rồi chuẩn bị mà làm no lệcho bọn tàu khua di
train_qwaokloyqb|Diễm Hương đm m . . . Nghèo nói nghèo . . Riết than củg ko cho đĩ chó
train_usbykrcspl|Nguyên Trung ba mẹ m ngu đéo biết dạy tg ngu như m
train_kgrgezwesw|Xấu hổ cc . . Chuyện bình thường . M sợ xấu hổ rồi m de con mày đói chết ak
train_rqqvhfefwl|Bảo My ê th ngáo này cũng hay vl kk
train_jkvzhdkycy|Phương Mai m del nói óc chó t del biết t tưởng thích chó ngu vc
train_tenjmdlmny|Mày nói như muốn dí buồi vào mồm vậy , mày có xem video k hay chỉ ngồi đây ngõ phím , thà đừng nói để mọi người không biết mày ngu chứ nói xong ai cũng chửi đúng óc chó
train_csqjqtmvnq|Nguyễn Duy thêm thắt hay không thì nên tìm hiểu nhiều nguồn khác nhau . Share cho biết thêm thông tin rảnh thì đọc , đéo đọc thì cút , ý kiến cái loz gì đéo biết
train_kdaibrthqu|ầu mùa ăn cứt cuối mùa ăn phân chỉ có thể là lũ chó man ngu si đần và bọn losẻăn cứt óc chó
train_hdpgprbnpl|- ủa bộ rồi đứa nào cũng như đứa nào à :) ad nứng lol hả
train_whgxxiszys|Nguyễn Công Thế ở mẹ ngoài đi cho yên ổn . Về làm gì đỡ chết 1 con lợn
train_qvhkzyjkrk|Ngoài độn những thứ bình thường như những người khác thì đầu D còn độn c * * cho hơn người ta . . Ok . Ổn lắm luôn . Lê Thị Mỹ Dung ífeeling upset .
train_oggowvdflf|Chỉ trích cái lồn què người ta có sức chịch sức đẻ sức nuôi mấy ba mấy má ganh tỵ hả gì đỡ hơn mấy đứa đụ đéo đã đời có con thì phá trốn tránh . gia đình cấm cản này nọ khinh khinh cái lũ chó
train_npgmrvsrai|Chỉ có ở Việt nam luật pháp như dậy mà thôi , dân mà như dậy là tội nặng , còn tụi cán bộ là rút kinh nghiệm , thế là xong 😡 😡 😡 vãi lol
train_onosgymovn|Tô Kim Thảo m chet me m à
train_kktchyfwuj|Bun ra cho nó dâm chết mẹ áo tr di
train_rmihveiwji|Bảo Ngọc Nguyễn dm m hơn tâm thần r ý :)
train_pugyugjltw|thì mày ngu vl ra
train_cfmnphzuon|Mấy con dở người dạo này cứ hở ra tí lại a nhà ở đâu thế . Hỏi để đánh bả chó nhà tao à . 😡 <URL>
train_thkxabfjia|Ghét con Anh nói xấu b t vl
train_rhuctvjxuj|Đàn ông đập đồ là đàn ông thấp hèn , là một thằng đàn ông ngu
train_qkuyfhhrjr|Mày đưa tiền mày để tao gửi cho thằng con chó
train_dhrsxnyunk|Mịa . Cái to mất t méo tiếc . Mà cái nhỏ nhỏ chúng mày nhặt của t là t nguyền rủa chúng mày . . Đứa nào lấy khôn hồn đem về chỗ cũ cho t . Ko thì t bùa cả nhà m đấy <URL>
train_szmwvanxio|Địt bố mày . Ngứa mắt rồi đấy . Chú ý vào ko gãy cụ mày hết răng đấy . <URL>
train_xfgbxobbkz|Ủa lừa còn cm làm chi v loại thất đức mới lừa nhé ib chơi chơi á bà rảnh háng quá mà đời lắm đứa thối mồm nghen
train_tvzggngcyo|Đàn ông tốt , sẽ không phạm một lỗi nhiều lần , và đàn ông trưởng thành sẽ không đợi đến khi mất đi mới biết cách trân trọng . Và phụ nữ khi yêu thì hết mình , nhưng khi chia tay thì cũng dốc cạn lòng . Phuong Thao Pham <URL> Lã Hải Anh . Đéo có gì là mãi mãi . Đời này làm đéo có tình yêu vĩnh cửu . 1 lần là nhỡ tay nóng giận . 2 lần là thói quen . 3 lần trở lên nó thuộc về bản chất . Tôi sợ con người anh . Vẻ ngoài đạo mạo nho nhã ấy . Nhưng khi ở nhà anh là 1 con thú độc ác tàn nhẫn không chút tình người . Những lời anh buông ra . Những trận đòn của anh . Có chết tôi cũng ko bao h quên . Đàn ông kém cỏi ko đáng trách . Nhưng đã bất tài lại còn vũ phu bội bạc thì anh không bh xứng đáng là 1 thằng đàn ông
train_fzzxkdooqk|Trường này quá vô tâm . Vô trách nhiệm sao ko sửa chữa lại để như vậy . ? Lẽ ra rơi đúng vào ông hiệu trưởng chứ sao lại rơi vô đứa trẻ . Nam mô a di đà phật
train_vxwbejgexx|tk chồng mất dạy vl ? ?
train_bjqsuccvvf|Nó giả vờ dell biết đấy . M ngu hơn chó =)
train_bxlbsznyry|Hà Lê Khánh Duy đm hơn 3k thằng khát link mà nó đéo cho , thằng chó
train_wptuhvohuc|Vậy đi đm :) Mai Xuân Nguyễn <URL> Ai Cute Giơ Tay . Địt mẹ không học tầm này chỉ có làm đĩ thôi chứ đéo ai nuôi mày ?
train_abdcikuomi|₫m chúng m . . Truyền Lào <URL> Tom Vlogs . Công nghệlàm sữa giả . .
train_hhibiitjye|Siêu phẩm :) Nam Dương shared a post . <URL> Huynh . KIẾP TRỘM CHÓ . Làm nháy công không được bao nhiêu nên anh em rủ nhau đi trộm chó :( . Nhưng đen quá . : " " Không sợ kẻ địch mạnh chỉ sợ đồng đội ngu như bò . " " . - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - . Ý tưởng : Đạt Thành . Mod : Thành Đạt - Hải Anh : Trộm Chó . Nguyễn Xuân Trung : Anh chủ nhà Ế vợ . Chó con : Chó . Foto : Hưng Kạt - Huynh Anh
train_olhpfmwrdm|Hào Gia phản quốc vl
train_jzxyhhehjz|Nguyễn Thành Công đúng . Nhưng mày coi nước mày đang giống tàu hông thằng ngu ?
train_pgtbifacro|Nó muốn ăn mày đó đm thằng ngu
train_vfprxwtbpg|Haiz mấy thằng ngu lol
train_zsxxsdmoae|Đm . Hổ báo . Vô sg gặp tao nè thằng chó
train_yxdinlezdg|Đéo cũng phải nói . Giấu tao tao biết tao đạp tận họng
train_njdcxrliwc|Lê Thị Ngọc Tuyền m đó condilon
train_sjnilyndmq|Nhớ chưa Nguyễn Văn Hải , mày chửi tao nữa là tao auto fang đấy = ] ]
train_qpszkmrrrb|thèm vl - . - . . . . . . . ad khốn lạn
train_jgusliaeqc|Lân Kevin thôi mày cứ sủa tiếp đi , tao nản mấy đứa ăn cám heo như mày lắm rồi , việt nam thừa sức phát triển hơn sing , còn mày thích cãi cùn thì tao đây cũng đéo rãnh , ngu nhu bò nói ra là biết rồi , đi trước 100 năm , hài vl
train_qfoizmnuvm|Nguyễn Đức Hiệp m đấy thằng lol
train_zwcywylndo|Tấn Phát võ văn kiệt có máy bãi đỗ oto ? ? ? Bãi otto đầy ra sao lại k có ? ? ? Ngu chữi càng cho họ biết ngu hả
train_svlzxvxgpl|Cay vl . Đỉ điên
train_tyzdnwsgcy|Đã đéo ưa nhau thì cút bớt hãm chó lại 👌 sang đây đều như nhau mà bớt sân si hộ 🙃 . # khongbanbenhungmaysedocduocthoi :) Lê Khánh Huyền ífeeling calm .
train_chavdhxunm|nhìn 4 5 thằng ng u phía trên cmt , thông não chúng mày khổ vkl :)
train_acujmavght|Tức giận mấy thì tức giận chứ đập đồ thì coi như vứt tiền của công sức mình làm đi rồi . Ngu vc
train_qktovzwxdd|Thằng đàn ông miệg lưỡi điêu ngoa . Giá trị của một gia đình là cách cư xử theo tg còn đây đã sai lầm còn văn vần cho rằg ta đây mới đem hp cho cô ấy . Vâng , nếu đúg như a nói thì hay r còn ngược lại thì chỉ có bóc cức mà thôi . Phụ nữ thiếu đàn ông có thể buồn như k thể chết 😂 đọc mà thiết nghĩ đàn ông gì mà miệg mồm ghê hơn đàn bà
train_vavmpienps|Trịnh Huy t thấy bọn tội phạm trong Nam nhiều vãi lone ra 🙂 đéo hiểu bọn óc chó chửi j
train_fdcitjfphn|Bọn m khôn hồn có ngon thì ra sân mà đá đcm kh bằng 1 c móng chân của ngta mà bày đặt chỉ trích
train_oczgvwqydo|Chắc gato vì ai đồ mày đéo được làm chủ tịch giống chú tao à :)
train_euwsnyndeg|Vứt mẹ đi . Đem trả lại làm cc gì . Thằng óc chó lụy tình .
train_mohtiowbrx|Địt mẹ chúng mày chỉ biết vơ vét . Chẳng qua ông sang ông ấy vạch cái mặt nạ của chúng mày ra nên chúng mày mưu hèn kế bẩn để cho ông ấy sập bẫy . Ông sang mà bình tĩnh thì chúng mày mút buồi ông ấy chứ làm đéo gì đc . Chẳng qua ông ấy vạch mặt chúng mày ra thì thấy mõm thằng nào cũng đang ngậm đầy cứt của dân . Nên lũ chúng mày mới hãm hại . Lũ chó
train_lwtkmmtyrj|Tao báo công an mày ăn nói xạo lol
train_ecepcrvglg|Sắp tới lên CSGT mà ngồi gỡ ra nha con . óc chó tưởng thế là hay . Gặp t đi ô tô mà nhá t đâm cho lúc đó đừng đổ tại do số . DM óc nó đéo biết chứa cc gì mà ngu thế không biết .
train_yduresehad|Ra cái luật . . Hể vô nhà ăn cắp dù nhỏ hay lớn . . Chém chết mẹ hết đi . . . . Người ta bỏ công bỏ sức ra nuôi . . . Dcm bọn mày muốn ăn mà đéo muốn làm . . . Chém hết . Đụng tao tao cũng chém ,
train_hgnhsrmpvr|Đmn vậy giá tiền tệvn có bằng ngta cc đâu mấy thằng óc cặc khôn vkl
train_xozmkkyyaw|Sinh Ero Tran ko biết xem thì tao vô cmt con mẹ mày à , thằng óc chó
train_teydbqqojp|Ling Linh ngu vl
train_upwwqvgeck|Hãm loz Hưng Nguyen <URL> Cao Thủ . Lạ vl :)
train_vhjefjlebz|Kha Ngọc Chi <URL> Xả . Chúng tôi rất nhớ bác Linh Nựng nứng vĩ đại - vị cha già dê dâm ô trẻ con . Đời đời nhớ ơn bác Linh Nựng nứng ui .
train_evgbugrlov|thế thì mày đ ! t biết dì dồi , Long nhờ :3
train_kxhbuwhzni|Thằng viết bài ngu như bò mày biết đéo j mà mày lộng ngôn mày viết bài cũng đi bợ đít cho những thằng khác , cởi áo quan về làm người tử tế ko sướng ah ngu lol . . . fuck
train_dcylfwtiyg|Họ sẽ nghĩ thằng này phiền vãi lol
train_raglfogpcu|Nguyễn Hùng Cường lại 1 thằng ngu và trẩu kéo theo hơn 700 thằng ngu fan 7
train_udtdyubljn|Ôg này chắc muốn đc mọi người chăm sóc cho ôg tàn phế để bán vé số làm giàu đây mà 😉 lợn lành éo muốn , muốn lợn què
train_zadnofhmdd|Thảo Trương đụ mẹ giãy đành đạch
train_obxbktwpiy|Có biển số xe mà . nhờ các cụ tinh mắt nhanh tay xem gđ thiểu năng chí tuệnày ở đâu . chúng tưởng mình là ai chứ . con chó ỉa cọ tìm chỗ giấu phân
train_iuwwmddhnv|Chet cha hai dua may di
train_rhfvjkmagy|Nguyễn Văn Bộ tối nó đem chôn động cái cc gi
train_bdkhooqrsd|Nguyễn Thị Cẩm TiênTiên vô chấm mà chửi như điên m . Ngu gì mà ngu qtad
train_vrllesnikn|Nó đã muốn đi thì gữi làm cc gì ngu vkl
train_fiyefezaab|Dmm thằng Khá Bá Dơ , m móc mũi m chét tao hả dkmm bá dơ xh <URL>
train_pyqyvkkokn|Cha nội này hậu quả của việc gian lận điểm học đường quá vậy ? Tiến sỹ phát biểu ngu hơn đứa dân ngu cu đen , mẹ loại như ông ngồi trong nhà nói thì hay , đéo biết dân bị bòn rút sức lao động , ra đường hít thở cũng đóng thuế . Xăng lên , thuế lên , gálên , điên lên , ở trong nhà sủa sủa vài câu bọn EVN cho đống tiền . Tiến sỹ con mẹ phán ngu hơn con chó .
train_qaeczkijbe|Mày lấy thông tin ở lone đâu ra đấy thằng ad ngu lone
train_nhbbaabbks|Con Cưng phận làm fan cứng mà đi copy dkm tao cho m bay fb nhé
train_cvanptxuxp|May con chó tụi mày đứng do làm gì mà để cho thằng chó đó ôm con nhỏ đó hoài vậy đồ mấy thằng óc chó
train_ibrcqzyupk|Lương Gia Huy bố cái thằng óc lồl . Cái thứ suy nghĩ suy đồi đạo đức như mày thì sớm muộn cũng rụng hết răng có ngày . Mà k nghe con kia bảo mày sờ vào háng tao mày sờ vào lồn tao à . Óc
train_zcnyaccwbs|Volka Ngân . chỉ có dân ngu như mày mới nghèo thôi chứ tao con xe tao đi cả trăm triệu mà ăn rác cái lồn má mày óc chó
train_axbtklqkqt|Ông nào lên tiếng nhượng lại cho ông đi bán vé số . Để ghế lại cho người khác cơ hội . Nói ngu như chó
train_ukglgknorl|Nguyễn Trần Nam vl lờ đờ giốg m vl
train_pvrxsftlxs|em đá póng ngu vl
train_bydfmfwezq|Hoàg Giang m ngu vl
train_sduujznusy|Suy nghĩ và động não đi ad , nếu ng tak thương ad thì đéo có dùng 2 nick Facebook 😂 🤣 😎 Tuấn Nguyễn ífeeling professional .
train_gmvgvdnfln|Quỳnh Paríđm chúng nó nói tao bê đê à
train_gwfqkedank|CĐV chứ có phải CLB đâu . Thằng ađviết ngu vãi
train_pwwfgezyev|Người xấu thì còn sửa dc chứ tính xấu lại còn ở bẩn thì chơi với Chó . đ " " xong 😂 . khẩu nghiệp tụ vành môi cho đó , Tao đ " " quan tâm 🤞 Loan Lê íwith LêKim .
train_bmmhwzhzje|Vn hoá thành con rồng lộn à ? . Đm cho dân ăn bánh vẽ mấy chục năm mà cứ vẽ hoài . Chúng mày bàn sao cho vơ vét càng nhanh càng tốt để chuồn qua Mỹ thì còn nghe đc . Đm lũ chó lợn !
train_lvmlmxxegu|Tự hào châu á . . nghe ngứa dái vl
train_cyuztzutbm|Khang Đình má nhìn lol cou vs sua đá ngứa mắt vl =)
train_lidsarfsru|Tô Văn Tèo xạo xạo cái đmm . Thì bố đá chán thì bố nghỉ chứ sao nữa . Óc chó
train_lcdptmisip|minh deo co ai cry vl song loi vl
train_ldwpdiayep|Bộ óc bò 😞 tao sợ cái bộ Vn vl
train_cjvynfioop|Lại nhảy . - đừng kể lễ , sống tự hiểu . : : giỡn chó ! Chó lờn mặt <URL>
train_sxysyxnpgi|Ngọc Ngân làm đĩ cx p có học . toán để tính tiền đi khách . hoá để xem khách có dùng chất hoá học k . học văn để gọi khách =)
train_vbophmkcdo|Phước Tường ngậm mồm vào mà xem , mở mồm ra chi cho mọi người biết mày ngu nhu con bò cầy thế ? Thứ lol què gì vậy ? Con bà già nhà mày , con bò cầy . . .
train_kjoqoalxci|Bỏ cái tật thấy điện thoại chị mày là đè ra hãm hiếp đi nha con kia , úp cho mày dừa . . . . Điện thoại chị mở lên toàn mặt mày ko 😑 😑 😑 yêu nghiệt . . . Bảo Ngọc íwith Thố Tiêu . <URL> ?
train_gxhkjfjeez|Chắc là bắn " " chim " " để uy hiếp và cũng là để chấn an tinh thần , lính Sài Gòn là vậy mà . Trước 1973 đạn Mỹ cung cấp chỉ sợ dùng không hết , thói quen sài đồ " " chùa " " rồi , nhưng sau này nguồn viện trợ bị cắt , đạn dược cạn kiệt khi Mỹ bỏ rơi nên VC đánh quân VNCH mạnh ai nấy chạy . Cho đến 30 / 4 lại là ngày xâm lược chiếm đất Hoa Kỳ làm tổ quốc .
train_mrvtusqsae|Nhật Trường cc ak
train_vsikflumya|Thôi dm t xin . Tha cho chú ý còn làm pxe nuôi vợ con . Địt đc các cháu 1 cái đi bóc cmn gần chục cuốn thì vợ con ở nhà ai lo . Các cháu nứng với bọn trẻ đi tha cho chú ý
train_vyeifjlisz|Vì m ngu vc
train_ypexidsnap|Alice k cháu ạ . . . Nó rút ván đồng thời cùng hành động dí * * * vào sóng luôn . . . Nó ném đi còn cứu đc ng khác đang ở dưới nước =) \ (
train_vymljxyajv|Trần Sang cl nè sang
train_edrbzibyox|Kê :) Bội Trân Võ Nguyễn <URL> Lê Nguyễn . Người không biết vẽ : " " Vẽ khó vailon ! " " . . Người không chịu tập vẽ : " " Vẽ khó vailon ! " " . . Giáo viên : " " Vẽ khó vailon ! " " . . Họa sĩ tập sự : " " Vẽ khó vailon ! " " . . Họa sĩ chuyên nghiệp : " " Vẽ khó vailon ! " " . . Họa sĩ nổi tiếng : " " Vẽ khó vailon ! " " . . Họa sĩ cực kì nổi tiếng : " " Vẽ khó vailon ! " " . . Những họa sĩ nổi tiếng thế giới đã qua đời và đi vào lịch sử : " " Vẽ khó vailon ! " " . . Khách hàng : " " Dễ mà em " "
train_hjhsuzfztu|Súc vật # NKL này ngày nào ko bị chửi chắc ba má nó ăn cơm ko ngon :)
train_ktvihktotx|Chịu lun con đẹt nớ nói sản chi ai biết
train_yqpravsjxt|TìnhNhư Giấc Mộng Tan m tuổi l
train_bhbpwychvp|trôngđáng vợ vlonn
train_ryfjwdnhvj|Mệt quãi lồn :)
train_xexoemjlxz|Đốt Thằng Nhà Quê <URL> Trần . TÁN ĐÉO ĐỔ . . . BỐ ĐỐT MẸ NÓ NHÀ
train_ablntglsuy|thằng này xao lol thông chốt nè mấy chú . bắt nó đi kk Huỳnh Trần <URL> Tùng . Csgt bình chánh tuổi gì đòi thổi e . . . thông 2 chốt muốn nín thở
